垫江县长龙乡等2个乡镇2个新建污水处理厂建设项目,,,,"
				                【信息时间：2017-06-26】【字号 "
渝北区古路镇1个镇1个新建污水处理厂建设项目,,,,"
				                【信息时间：2017-06-26】【字号 "
歇马“缙云新居”公租房项目四、六组团园林绿化景观工程（合同包一）,,,,"
				                【信息时间：2017-06-26】【字号 "
龙洲湾东“龙洲南苑”公租房项目四组团园林绿化景观工程（合同包二）,,,,"
				                【信息时间：2017-06-26】【字号 "
经开区“江南水岸”公租房项目五组团园林绿化景观工程（合同包四）,,,,"
				                【信息时间：2017-06-26】【字号 "
跳蹬“幸福华庭”公租房项目D组团园林绿化景观工程（合同包三）,,,,"
				                【信息时间：2017-06-26】【字号 "
奉节县鱼复公园绿改扩建工程设计招标中标结果公告,重庆奉节城市建设有限公司,重庆华众汇园景观规划设计有限公司,,"
				                【信息时间：2017-06-26】【字号 "
奉节县夔门诗文化游览园设计招标中标结果公告,重庆奉节城市建设有限公司,重庆大野景观创意设计股份有限公司,,"
				                【信息时间：2017-06-26】【字号 "
重庆市大渡口区马王小学危旧改造及厕所节能改造工程中标结果公告,招标代理机构（公章）：,重庆市恒旭实业集团有限公司,241.109890,"
				                【信息时间：2017-06-26】【字号 "
长江师范学院李渡校区 专业音乐厅改造室内声学装饰工程中标结果公告,招标代理机构：重庆求精工程造价有限责任公司,重庆德升实业有限公司,197.438853,"
				                【信息时间：2017-06-26】【字号 "
万州区旧城功能恢复-环天仙湖区域步行道及环境综合整治工程（景观及建筑立面整治部分）设计,,,,"
				                【信息时间：2017-06-27】【字号 "
万州区长坪乡中兴村精准帮扶(道路工程部分),,,,"
				                【信息时间：2017-06-27】【字号 "
重庆西站综合交通枢纽二期精装修工程深化设计（施工图阶段）（第二次）,,,,"
				                【信息时间：2017-06-27】【字号 "
长寿中科未来城凤栖科技岛设计（第二次）中标结果公告,重庆盈地实业有限公司,重庆浩丰规划设计集团股份有限公司,201.1200,"
				                【信息时间：2017-06-27】【字号 "
国道319机场段、龙头寺公园喷灌、五星园景观工程中标结果公告,,,,"
				                【信息时间：2017-06-27】【字号 "
职教中心学生宿舍热水系统改造工程中标结果公告,,,,"
				                【信息时间：2017-06-27】【字号 "
德泽路二期等5条道路勘察设计 招标公告中标结果公告,招标代理机构：,重庆市市政设计研究院,138,"
				                【信息时间：2017-06-27】【字号 "
菜市街小学南城校区多功能厅二次装修工程（第二次）招标公告中标结果公告,招标代理机构：重庆熙正工程招标代理有限公司, ,49,"
				                【信息时间：2017-06-27】【字号 "
重庆市荣昌区人民法院审判办公综合业务用房B区（诉非对接中心）建设项目桩底勘察中标结果公告,重庆市荣昌区人民法院,重庆天域勘察测绘有限公司,,"
				                【信息时间：2017-06-27】【字号 "
荣昌区观胜镇新吴公路水泥路工程中标结果公告,重庆市荣昌区观胜镇人民政府,四川明兴建设集团有限公司,306.489051,"
				                【信息时间：2017-06-27】【字号 "
燕山集镇移民安置小区综合帮扶工程,,,,"
				                【信息时间：2017-06-28】【字号 "
际华三五三九制鞋有限公司迁扩建项目第一期工程（安装工程）（第二次） 招标公告中标结果公告,招标代理机构：,重庆建工住宅建设有限公司,580.353206,"
				                【信息时间：2017-06-28】【字号 "
奉节县城西出口道路工程-C、D连接道工程中标结果公告,重庆奉节城市建设有限公司,重庆铭昊建设有限公司,625.491136,"
				                【信息时间：2017-06-28】【字号 "
江南职高进校广场建设及校貌整治工程-进校广场和校门建设中标结果公告,招标代理机构：,重庆市江津区第六建筑工程有限公司,713.98387,"
				                【信息时间：2017-06-28】【字号 "
万州经开区盐气化工生态工业园胜利片区场平工程监理（第二次）,,,,"
				                【信息时间：2017-06-29】【字号 "
万州经开区高峰生态工业园相思、雷家片区道路及管网工程－高峰大道道路工程项目（一期）三标段监理,,,,"
				                【信息时间：2017-06-29】【字号 "
洛碛场镇环境综合整治（三期）工程中标结果公告,,,,"
				                【信息时间：2017-06-29】【字号 "
重庆市凤城监狱环境绿化景观工程中标结果公告,招标代理机构：,重庆良宇建筑工程有限公司,344.004007,"
				                【信息时间：2017-06-29】【字号 "
忠县红星移民小区创业一条街改造（施工）中标结果公告,,,,"
				                【信息时间：2017-06-29】【字号 "
奉节县2016年脱贫村撤并村通畅工程康坪乡（大架村 三塘路、松林村铜锣路）项目中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-29】【字号 "
2016年危桥改造项目施工招标1标段中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-29】【字号 "
2016年危桥改造项目施工招标2标段中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-29】【字号 "
奉节县安坪镇三沱小学扩建工程中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-29】【字号 "
奉节县安坪镇三沱小学长梁子教学点中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-29】【字号 "
涪陵区镇安移民迁建集镇小区综合帮扶项目中标结果公告,招标代理机构：北京市建壮咨询有限公司 ,重庆市黔江区辉宇建设有限责任公司,431.232233 ,"
				                【信息时间：2017-06-29】【字号 "
开县城南红光小区棚户区改造工程、开县红光片区综合基础设施建设工程—基础设施部分剩余部分监理中标结果公告,重庆开州建设工程有限公司,河南宏业建设管理股份有限公司,,"
				                【信息时间：2017-06-29】【字号 "
满月至马营公路改造工程设计（第二次）中标结果公告,招标代理机构：四川万锦工程项目管理有限公司,重庆市交通规划勘察设计院, ,"
				                【信息时间：2017-06-29】【字号 "
璧山县大路道口片区等3个街道（含1个镇）3个新建污水处理厂建设项目,,,,"
				                【信息时间：2017-06-30】【字号 "
渝北区统景镇2017年道路硬化工程一标段中标结果公告,重庆市渝北区统景镇人民政府,,,"
				                【信息时间：2017-06-30】【字号 "
天保路等8条道路交通工程中标结果公告,,,,"
				                【信息时间：2017-06-30】【字号 "
渝北区统景镇2017年道路硬化工程二标段中标结果公告,重庆市渝北区统景镇人民政府,,,"
				                【信息时间：2017-06-30】【字号 "
渝北区统景镇2017年道路硬化工程三标段中标结果公告,重庆市渝北区统景镇人民政府,,,"
				                【信息时间：2017-06-30】【字号 "
渝北区统景镇2017年道路硬化工程四标段中标结果公告,重庆市渝北区统景镇人民政府,,,"
				                【信息时间：2017-06-30】【字号 "
重庆江津综合保税区自建标准厂房和保税仓库建设工程（一期保税仓库）施工监理中标结果公告,重庆市江津区珞璜开发建设有限公司,中节能德信工程管理成都有限公司,107.8,"
				                【信息时间：2017-06-30】【字号 "
江津区四屏镇青堰双生广场工程招标公告中标结果公告,招标代理机构：四川旭日工程项目管理有限公司,重庆市羚农建设集团有限公司,901.5143,"
				                【信息时间：2017-06-30】【字号 "
江津区第二人民医院扩建工程（暨儿科综合大楼工程） 招标公告中标结果公告,招标代理机构：重庆恒诚建筑技术有限公司,重庆建工第七建筑工程有限责任公司,9397.2493 ,"
				                【信息时间：2017-06-30】【字号 "
S428江土路天星经官桥至红春塘公路改造工程 （乐天路天星至官桥段路面整治）项目中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-30】【字号 "
重庆泽胜船舶洗舱有限公司涪陵洗舱基地码头工程中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-30】【字号 "
开县睡佛、盛兴小区基础设施完善项目-盛兴小区中标结果公告,招标代理机构：,重庆华顺建筑工程有限公司,341.388901 ,"
				                【信息时间：2017-06-30】【字号 "
奉节县白帝城瞿塘峡景区电力扩容项目中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-30】【字号 "
奉节县中医院扩建工程医技保障综合楼建设项目中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-30】【字号 "
奉节县2016年脱贫村撤并村通畅工程吐祥镇公路工程1标段中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-30】【字号 "
奉节县2016年脱贫村撤并村通畅工程吐祥镇公路工程2标段中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-30】【字号 "
奉节县2016年脱贫村撤并村通畅工程吐祥镇公路工程3标段中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-30】【字号 "
奉节县2016年脱贫村撤并村通畅工程青龙镇(东厢村、发祥村云丰路、覃家村万家路)公路工程中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-30】【字号 "
万州区龙驹镇污水管网工程设计,,,,"
				                【信息时间：2017-07-03】【字号 "
谢家湾站、壹心壹学校站、九滨路路口拓宽改造项目中标结果公告,得分,重庆金运建筑工程有限公司,,"
				                【信息时间：2017-07-03】【字号 "
白沙工业园兆峰、中筠企业地块平场项目中标结果公告,招标代理机构：,重庆市荣升建筑安装工程公司,696,"
				                【信息时间：2017-06-16】【字号 "
利用世行贷款重庆市统筹城乡发展与改革二期项目重庆市黔江中心医院住院楼装饰及智能化设计中标结果公告,重庆市黔江中心医院,重庆市设计院,108,"
				                【信息时间：2017-06-16】【字号 "
万州区大周镇铺垭村精准帮扶项目-广场及人行道子项目,,,,"
				                【信息时间：2017-06-14】【字号 "
重庆市渝北区空港新城(空港佳园)公共租赁住房建设项目园林绿化工程施工（三标段）中标结果公告,,,,"
				                【信息时间：2017-06-13】【字号 "
重庆市荣昌区2017年农村饮水安全巩固提升工程施工监理中标结果公告,重庆市荣昌区弘禹水资源开发有限责任公司,重庆华大建筑工程监理有限公司,,"
				                【信息时间：2017-06-08】【字号 "
涪陵新区电子信息标准化厂房设计招标中标结果公告,招标代理机构：,重庆市设计院,16.25,"
				                【信息时间：2017-06-08】【字号 "
开县白鹤街道集镇污水治理工程中标结果公告,招标代理机构：重庆合信建设招标代理有限公司,重庆市万州区广厦建筑工程公司,16070360.59 ,"
				                【信息时间：2017-06-06】【字号 "
重庆市荣昌区龙集镇中心小学新建塑胶运动场及装修工程中标结果公告,重庆市荣昌区龙集镇中心小学,银广厦集团有限公司,186.894296,"
				                【信息时间：2017-06-02】【字号 "
重庆市江津区首期新型城镇化专项基金2017年度村镇建设项目施工图审查招标中标结果公告,招标代理机构：重庆宏达招标代理有限公司,重庆泰山建筑工程施工图审查有限责任公司,,"
				                【信息时间：2017-06-01】【字号 "
江津区珞璜工业园温泉管网复建工程招标中标结果公告,招标代理机构：重庆永鑫工程项目管理有限公司,重庆市羚农建设集团有限公司,865.916357,"
				                【信息时间：2017-05-31】【字号 "
万州区太安镇生基塘危岩、白羊镇铺子湾滑坡、长岭镇竹林湾滑坡三个区级地质灾害应急抢险治理项目,,,,"
				                【信息时间：2017-06-01】【字号 "
庆市万州区牌楼长江大桥北岸综合交通体系工程-王牌路延伸段、王牌路延伸段入口边坡、王牌路立交边坡安全监测,,,,"
				                【信息时间：2017-06-01】【字号 "
重庆三峡银行总行办公用房装修项目设计中标结果公告,,,,"
				                【信息时间：2017-06-01】【字号 "
垫江县长龙中学校迁建工程（校园景观绿化、篮球场、羽毛球场及生化池消防池工程）监理中标结果公告,招标代理机构：重庆熙正工程招标代理有限公司,重庆钓鱼城建设监理咨询有限公司,12.53,"
				                【信息时间：2017-06-01】【字号 "
奉节县县城安全出口通道工程（夔州东路-六号桥段改扩建工程）-三马山至茶店移民安置区道路（K0+400-k2+029.695）监理中标结果公告,奉节县三峡库区生态产业发展有限公司,四川泰兴建设管理有限责任公司,74.26%,"
				                【信息时间：2017-06-01】【字号 "
F06线高性能环保型玻纤生产线技术改造项目（电力变压器采购）中标结果公告,招标代理机构：,广州银变电力设备有限公司,106.2,"
				                【信息时间：2017-06-01】【字号 "
奉节县高铁生态城(棚户区)路网及配套设施项目勘察设计中标结果公告,重庆奉节城市建设有限公司,重庆市市政设计研究院,79.90%,"
				                【信息时间：2017-06-01】【字号 "
重庆市江津区第五人民法庭工程施工招标公告中标结果公告,招标代理机构：,重庆市江津区仙鱼建筑安装工程有限公司,299.264196,"
				                【信息时间：2017-06-01】【字号 "
万州区万安新村小区综合帮扶项目,,,,"
				                【信息时间：2017-06-02】【字号 "
万州区双福组团移民小区基础设施完善工程（二）,,,,"
				                【信息时间：2017-06-02】【字号 "
重庆三峡医药高等专科学校附属医院综合大楼室外送电线路安装工程(第二次）,,,,"
				                【信息时间：2017-06-02】【字号 "
重庆市渝北区古路镇骆子塘危岩治理工程中标结果公告,重庆市渝北区古路镇人民政府,, ,"
				                【信息时间：2017-06-02】【字号 "
重庆轨道交通6号线支线二期复兴站（含）~设计终点土建结构工程,,,,"
				                【信息时间：2017-06-02】【字号 "
重庆轨道交通6号线支线二期设计起点~清溪河站（含）土建结构工程,,,,"
				                【信息时间：2017-06-02】【字号 "
铜鼓镇三马路二期（横大山ㅡ唐家院子路口）水泥路工程项目中标结果公告,重庆市荣昌区铜鼓镇人民政府,青海省宏星建设工程有限公司,233.956472,"
				                【信息时间：2017-06-02】【字号 "
万州区新田集镇移民安置小区综合帮扶工程（集镇道路综合整治完善工程）,,,,"
				                【信息时间：2017-06-05】【字号 "
铜鼓镇铜吴公路（场口-柏树坳路口）水泥路工程项目中标结果公告,重庆市荣昌区铜鼓镇人民政府,湖南和福建设工程有限公司,376.267028,"
				                【信息时间：2017-06-05】【字号 "
高龙路黑化工程中标结果公告,,,,"
				                【信息时间：2017-06-05】【字号 "
港城西路延伸段工程（1号桥及匝道部分）勘察和设计中标结果公告,"
      ",,"
      ","
				                【信息时间：2017-06-05】【字号 "
盘龙镇大坪路建设工程中标结果公告,重庆市荣昌区盘龙镇人民政府,四川辉跃建筑有限公司,274.1880,"
				                【信息时间：2017-06-05】【字号 "
四面山旅游小镇道路管网（污水管网）工程招标公告中标结果公告,招标代理机构：福建省建融工程咨询有限公司重庆分公司,重庆荣德建筑工程有限公司,624.206679,"
				                【信息时间：2017-06-05】【字号 "
涪陵江东滨江路二期工程乌江大桥复线桥桥区助航标志配布工程中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-05】【字号 "
双福第三小学项目 招标公告中标结果公告,招标代理机构：北京国金管理咨询有限公司,重庆建工住宅建设有限公司,2669.8773 ,"
				                【信息时间：2017-06-05】【字号 "
双福新区企业服务中心装饰工程招标中标结果公告,招标代理机构：法正项目管理集团有限公司重庆分公司,重庆市綦江区晨光建筑安装工程有限公司,421.353783,"
				                【信息时间：2017-06-05】【字号 "
重庆市梁平区合兴镇“中国名柚园”高标准基本农田建设项目测绘中标结果公告,重庆市梁平区土地开发整理中心,贵州千景土地科技有限公司,,"
				                【信息时间：2017-06-05】【字号 "
重庆市万州区鸡公岭小学天星校区荣誉室、阅览室及会议室装修工程,,,,"
				                【信息时间：2017-06-06】【字号 "
新建都市快线璧山至铜梁线工程勘察设计（第二次）,,,,"
				                【信息时间：2017-06-06】【字号 "
重庆工商大学主校区道路白改黑维修改造工程,,,,"
				                【信息时间：2017-06-06】【字号 "
职教中心校舍改造工程中标结果公告,,,,"
				                【信息时间：2017-06-06】【字号 "
茨竹镇梅复路、方山路水毁治理工程中标结果公告,,,,"
				                【信息时间：2017-06-06】【字号 "
开县镇安镇移民安置小区综合帮扶项目中标结果公告,招标代理机构：重庆合信建设招标代理有限公司,重庆市志展建筑工程有限公司　,13082261.65 ,"
				                【信息时间：2017-06-06】【字号 "
涪陵区白涛街道高峰寺撤并村道路硬化工程（桃子园）中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-06】【字号 "
洛碛镇药川路环境综合整治工程中标结果公告,,,,"
				                【信息时间：2017-06-06】【字号 "
长寿区双龙镇2017年农村公路畅通工程（高张路、二碗路）中标结果公告, ,重庆万安建设工程有限公司,212.40764,"
				                【信息时间：2017-06-06】【字号 "
重庆市江津区白沙镇污水处理厂扩建工程中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-06】【字号 "
重庆港龙头作业区二期工程5#、6#泊位水工建筑物工程监理中标结果公告,"
      ","
      ",,"
				                【信息时间：2017-06-06】【字号 "
开县赵家初级中学教学综合楼及其附属工程中标结果公告,重庆市开州区赵家初级中学,重庆万载建筑工程有限公司,445.81832,"
				                【信息时间：2017-06-06】【字号 "
四面山镇洪洞村胡家咀巴渝民宿项目EPC总承包工程招标公告中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-06】【字号 "
F06线高性能环保型玻纤生产线技术改造项目磁悬浮离心式冷水机组采购中标结果公告,,,,"
				                【信息时间：2017-06-06】【字号 "
长寿经开区科技创新园一期工程质量检测招标中标结果公告,招标代理机构：,重庆科融建筑工程质量检测有限公司,73,"
				                【信息时间：2017-06-07】【字号 "
重庆市万州食品药品检验实验楼迁扩建项目电梯采购及安装,,,,"
				                【信息时间：2017-06-08】【字号 "
茨竹中心小学校迁建工程（重新公示）中标结果公告,"
      ",,,"
				                【信息时间：2017-06-08】【字号 "
开县白鹤街道中心小学教学综合楼中标结果公告,重庆市开州区白鹤街道中心小学,重庆八骏市政园林工程有限公司,3045364.78,"
				                【信息时间：2017-06-08】【字号 "
双龙湖驳岸整治及环湖路灯电路改造工程中标结果公告,,,,"
				                【信息时间：2017-06-08】【字号 "
秀山县拥军街片区背街小巷改造项目（第二次）中标结果公告,招标代理机构：重庆西恒工程咨询有限公司,四川国泰仁和环境工程有限责任公司,196.718688,"
				                【信息时间：2017-06-08】【字号 "
秀山县青松巷片区背街小巷改造项目中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-08】【字号 "
重庆市江津区第六人民法庭工程施工监理招标公告中标结果公告,招标代理机构：,重庆兴达建设监理有限公司,130000,"
				                【信息时间：2017-06-08】【字号 "
奉节县鱼复街道步云街小区综合帮扶项目（步云社区特色民俗文化商业街改造工程）中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-08】【字号 "
垫江县长龙中学校迁建工程-景观绿化、篮球场及羽毛球场工程中标结果公告,招标代理机构：重庆熙正工程招标代理有限公司,重庆市远举建筑工程有限公司,1278.710879,"
				                【信息时间：2017-06-08】【字号 "
峰高街道红化路水泥砼路面工程中标结果公告,重庆市荣昌区人民政府峰高街道办事处,中建富林集团有限公司,391.404243,"
				                【信息时间：2017-06-08】【字号 "
开县郭家镇雨污分流改造工程中标结果公告,招标代理机构：,重庆龙建建筑工程（集团）有限公司,1597.411049 ,"
				                【信息时间：2017-06-08】【字号 "
开县北部新区基础设施建设工程－滨湖北路丰太段道路监理中标结果公告,"
      ","
      ",,"
				                【信息时间：2017-06-08】【字号 "
大屏展示系统采购及安装,,,,"
				                【信息时间：2017-06-09】【字号 "
107地质队科研楼弱电智能化工程中标结果公告,,,,"
				                【信息时间：2017-06-09】【字号 "
大盛镇云龟山供水工程中标结果公告,,,,"
				                【信息时间：2017-06-09】【字号 "
319白涛转盘至816核军工洞段道路及白涛至麦子坪道路两侧绿化工程中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-09】【字号 "
酉阳县兴隆镇等11个乡（镇）村11个、奉节县康乐镇等4个乡（镇）村4个、城口县左岚乡等5个乡（镇）村5个共20个污水处理厂建设项目监理,,,,"
				                【信息时间：2017-06-09】【字号 "
盘龙镇云台路建设工程中标结果公告,重庆市荣昌区盘龙镇人民政府,重庆德上建筑工程有限公司,365.59404,"
				                【信息时间：2017-06-09】【字号 "
秀山县桂花街道“白改黑”改造项目中标结果公告,招标代理机构：重庆西恒工程咨询有限公司,　,　,"
				                【信息时间：2017-06-09】【字号 "
临江镇至太原道路恢复工程中标结果公告,重庆宏畅交通建设有限公司,江西省旺恺建设有限公司,,"
				                【信息时间：2017-06-09】【字号 "
白涛化工园区潘家坝污水处理二期工程（一阶段）中标结果公告,代理公司：,重庆市金楠建筑有限责任公司,1825.990153,"
				                【信息时间：2017-06-09】【字号 "
奉节县永安街道王家坪小区综合帮扶项目中标结果公告,奉节县永安街道办事处,重庆佳卓建筑工程有限公司,4638881.46,"
				                【信息时间：2017-06-09】【字号 "
奉节县永安街道刘家湾小区综合帮扶项目（一期）中标结果公告,奉节县永安街道办事处,陕西亿金建设有限公司,2677994.62 ,"
				                【信息时间：2017-06-09】【字号 "
奉节县永安街道刘家包小区综合帮扶项目中标结果公告,奉节县永安街道办事处,重庆市予德建设工程有限公司,9399865.05,"
				                【信息时间：2017-06-09】【字号 "
开县厚坝镇石龙村精准帮扶实施方案—主干道路硬化工程及居民点连接道路硬化工程中标结果公告,重庆市开州区厚坝镇人民政府,四川恒宝建筑工程有限公司,9607063.86,"
				                【信息时间：2017-06-09】【字号 "
万州区小周镇大堡村精准帮扶工程（一标段）,,,,"
				                【信息时间：2017-06-13】【字号 "
长寿区新市镇初级中学校运动场扩建工程二期中标结果公告,重庆市长寿公益工程建设管理有限公司,重庆市吉力建设集团有限公司,148.599235,"
				                【信息时间：2017-06-13】【字号 "
重庆市渝北区空港新城(空港佳园)公共租赁住房建设项目园林绿化工程施工（一标段）中标结果公告,,,,"
				                【信息时间：2017-06-13】【字号 "
重庆市渝北区空港新城(空港佳园)公共租赁住房建设项目园林绿化工程施工（二标段）中标结果公告,,,,"
				                【信息时间：2017-06-13】【字号 "
川东钻探渝北生产与技术研发基地设计施工总承包项目中标结果公告,,,,"
				                【信息时间：2017-06-13】【字号 "
四面山龙潭湖旅游景区道路工程招标公告中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2017-06-13】【字号 "
忠县青少年校外活动场所电梯工程中标结果公告,,,,"
				                【信息时间：2017-06-13】【字号 "
区体育中心市政设施升级改造工程中标结果公告,招标代理机构：,重庆市实力公路开发有限公司,781.801746,"
				                【信息时间：2017-06-13】【字号 "
蔡家组团二、三级管网改造工程中标结果公告,招标代理机构（单位名称）：北京希地环球建设工程顾问有限公司重庆分公司,,1497.721465,"
				                【信息时间：2017-06-13】【字号 "
江津区先锋等7个镇10个污水处理站建设项目,,,,"
				                【信息时间：2017-06-14】【字号 "
潼南区公安局应指工程视频监控井盖更换工程中标结果公告,重庆市潼南区公安局,重庆市和霖建筑工程有限责任公司,62.845086 ,"
				                【信息时间：2017-06-14】【字号 "
梁平区明达镇老鸹寨水厂改扩建工程(二标段）中标结果公告,招标代理机构：,重庆昌唐管业有限公司,252.616606,"
				                【信息时间：2017-06-14】【字号 "
长寿区桃花新城行政中心段园林绿化管护工程中标结果公告, ,重庆森瑞园林工程有限公司,35.010569,"
				                【信息时间：2017-06-14】【字号 "
长寿区桃花新城体育中心段园林绿化管护工程中标结果公告, ,重庆巨杉园林有限公司,32.67236,"
				                【信息时间：2017-06-14】【字号 "
重庆市荣昌商贸物流园集装箱堆场、道路、停车位等室外附属工程中标结果公告,重庆永荣矿业有限公司,重庆旭凯建设集团有限公司,3667436.36,"
				                【信息时间：2017-06-14】【字号 "
重庆市忠县半城新区安居房及安置房配套基础设施工程施工中标结果公告,,,,"
				                【信息时间：2017-06-14】【字号 "
圣泉公园市政绿化附属项目管理用房装饰工程施工招标公告中标结果公告,招标代理机构：北京瀛润达建设工程咨询有限责任公司,重庆长峡建设有限公司,55,"
				                【信息时间：2017-06-14】【字号 "
万州区龙驹镇和平街等道路综合整治项目,,,,"
				                【信息时间：2017-06-15】【字号 "
“重视传媒总部基地”项目1#、2#演播室声学装修工程（重新公示）中标结果公告,重庆重视传媒有限责任公司,,,"
				                【信息时间：2017-06-15】【字号 "
重庆八中数据谷项目实验中学项目施工监理中标结果公告,,,,"
				                【信息时间：2017-06-15】【字号 "
仁义镇朝天村公路水泥路面工程中标结果公告,重庆市荣昌区仁义镇人民政府,贵州仓达建筑有限公司,517,"
				                【信息时间：2017-06-15】【字号 "
酉阳县苍岭镇太河村、苍坝村撤并村通畅工程（大潭水—板凳岩） 招标公告中标结果公告,酉阳土家族苗族自治县苍岭镇人民政府,四川锦明建设工程有限公司,346.5095,"
				                【信息时间：2017-06-15】【字号 "
荣昌区观胜镇陈仁路水泥路工程中标结果公告,重庆市荣昌区观胜镇人民政府,四川仁厚建设工程有限公司,304,"
				                【信息时间：2017-06-15】【字号 "
重庆市五里店公交换乘枢纽进出高架道路工程勘察设计,,,,"
				                【信息时间：2017-06-15】【字号 "
垫江县周嘉工商所危改修建业务用房工程中标结果公告,招标代理机构：,重庆玖亿建设工程有限公司,81.921523  ,"
				                【信息时间：2017-06-15】【字号 "
酉阳县苍岭镇南溪村撤并村通畅工程（上南溪—长岭） 招标公告中标结果公告,酉阳土家族苗族自治县苍岭镇人民政府,四川帝威建筑工程有限公司,385.129297,"
				                【信息时间：2017-06-15】【字号 "
重庆市江津中学校第三教学楼危改工程中标结果公告,招标代理机构： 四川旭日工程项目管理有限公司,重庆市沙坪坝区第四建筑工程公司,279.3375,"
				                【信息时间：2017-06-15】【字号 "
重庆市江津区白沙镇污水处理厂扩建工程 施工监理招标公告中标结果公告,招标代理机构：,重庆兴达建设监理有限公司,280000,"
				                【信息时间：2017-06-15】【字号 "
西南大学西塔学院学生宿舍维修改造工程中标结果公告,,,,"
				                【信息时间：2017-06-16】【字号 "
渝开发.缘香醍（星河one）项目B地块一组团园林景观工程中标结果公告,招标代理机构： ,重庆铭扬建设有限公司,624.175879,"
				                【信息时间：2017-06-16】【字号 "
黔江区城东中心小学校迁建工程监理（二次）中标结果公告,,,,"
				                【信息时间：2017-06-16】【字号 "
奉节县白帝集镇综合帮扶建设项目中标结果公告,奉节县白帝镇人民镇府,重庆市天宝建筑工程有限公司,394.966739,"
				                【信息时间：2017-06-16】【字号 "
潼南新城时光长廊景观工程中标结果公告,招标代理机构：,重庆恒钲建筑工程有限公司,1559.24776,"
				                【信息时间：2017-05-27】【字号 "
垫江县龙滩水库复建公路工程（环湖主线、支线段）监理招标中标结果公告,垫江县沙河乡人民政府,厦门高诚信建设监理有限公司,47.36,"
				                【信息时间：2017-05-25】【字号 "
垫江县小城镇污水管网工程（二期）（二标段）中标结果公告,垫江县便民环卫发展有限责任公司,重庆天生建设工程有限公司,1487.106796,"
				                【信息时间：2017-05-24】【字号 "
城口县亿联商贸城污水三级管网工程中标结果公告,招标代理机构：中信国际招标有限公司,重庆金盛建设工程有限责任公司,196.582037,"
				                【信息时间：2017-05-24】【字号 "
城口县石溪河高观镇（香坪）段和岚天乡河段综合治理工程(项目一）中标结果公告,招标代理机构：,重庆兄弟建设有限公司,1786.606453,"
				                【信息时间：2017-05-22】【字号 "
潼南垃圾处理厂连接线公路工程勘察设计中标结果公告,重庆市潼南区交通建设投资有限公司,林同棪国际工程咨询（中国）有限公司,37.28,"
				                【信息时间：2017-05-22】【字号 "
涪陵区2016年农村公路撤并村谢石村优选路通畅工程中标结果公告,重庆市涪陵区人民政府李渡街道办事处 ,重庆市涪陵荔枝建筑公司,213.405818,"
				                【信息时间：2017-05-15】【字号 "
荣昌区古佛山国家AAAA级景区栈道工程中标结果公告,重庆市万灵山旅游开发集团有限公司,重庆兴达实业（集团）有限公司,443.083611,"
				                【信息时间：2017-05-15】【字号 "
潼南工业园区北区道路工程{潼南工业园区北区产业二支路（北区H4道路二标段）工程和潼南工业园区北区产业四支路（北区Z1道路二标段）工程和潼南工业园区北区产业六支路（北区C1道路延长段）工程和潼南工业园区北区丰园路（北区H5道路二标段）工程}监理中标结果公告,招标代理机构：,重庆建渝工程建设监理有限公司,38.155308,"
				                【信息时间：2017-05-15】【字号 "
荣昌县示范性综合实践基地项目建筑装修工程中标结果公告,重庆市兴昌辉腾旅游产业发展有限公司,重庆兄弟建设有限公司,1353.032451,"
				                【信息时间：2017-05-15】【字号 "
洛碛镇中心场镇提档升级项目中标结果公告,,,,"
				                【信息时间：2017-05-15】【字号 "
重庆市环境保护局市环境监测科研基地供电线路改造工程中标结果公告,,,,"
				                【信息时间：2017-05-15】【字号 "
奉节县羊市镇渔灯村土地整治（配套）项目、奉节县羊市镇兴安村等（2）个村土地整治（配套）项目（兴安片区）中标结果公告,奉节县农村土地整治中心,四川伟联建筑工程有限公司,246.153988,"
				                【信息时间：2017-05-15】【字号 "
