帖子名称,发帖人ID,发帖人progression,发帖时间,发帖人competition名次,Total Posts,Comments,Topics,Net Votes,所在地,注册时间,followers,following,回帖人ID,回帖人progression,回帖时间,回帖人competition名次,Total Posts,Comments,Topics,Net Votes,所在地,注册时间,followers,following
"Magic Hint? : What M.L ""can't see""",ozoneiscool,novice,2019-04-01T07:40:56.937Z,3489,10,8,2,120,-,2018-08-02T10:08:07.587Z,4,1,CPMP,grandmaster,2019-04-01T09:24:34.997Z,15,5018,4781,237,12239,-France,2012-12-16T12:03:05.527Z,2106,0
Kernel work smart > work hard [LB 0.920],Felipe Mello,expert,2019-04-11T14:26:26.047Z,70,141,131,10,292,Philadelphia-USA,2019-01-09T21:03:18.01Z,41,11,Spoiler Alert,expert,2019-04-11T14:49:17.03Z,30,22,21,1,21,Shenzhen-China,2019-02-15T18:55:58.227Z,9,0
Collating Magic Solutions,TK,contributor,2019-04-11T00:32:27.153Z,266,31,27,4,42,Santa Clara-USA,2017-04-22T04:06:03.627Z,2,5,YaGana Sheriff-Hussaini,expert,2019-04-11T22:37:16.963Z,638,1592,1540,52,1030,-United States,2017-02-05T02:13:28.57Z,49,11
How many submission you have left?,Murat Korkmaz,expert,2019-04-10T11:53:28.933Z,140,69,65,4,107,Istanbul-Turkey,2018-04-28T23:19:58.793Z,5,27,Jiwei Liu,grandmaster,2019-04-10T16:15:35.433Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68
Could we know a little bit background story from Santander,Xuan Cao,master,2019-04-11T00:59:13.817Z,17,162,149,13,419,Philadelphia-United States,2017-03-31T15:21:17.997Z,55,19,Chuanle Dou,expert,2019-04-11T01:01:32.937Z,113,21,18,3,25,Tianjin-China,2018-01-15T06:54:40.5Z,2,8
"Amazing magic, But why it works",L.B.,contributor,2019-04-11T00:56:41.677Z,196,7,6,1,7,Tokyo-Japan,2018-09-11T00:06:41Z,0,1,Binil,expert,2019-04-11T01:18:48.897Z,807,140,127,13,190,Minneapolis-United States,2016-08-26T02:23:08.957Z,7,2
Insanity,Scirpus,grandmaster,2019-04-07T19:50:06.793Z,300,1425,1289,136,3142,Cheshire-England,2014-09-29T15:57:04.947Z,406,0,Felipe Mello,expert,2019-04-07T19:52:24.377Z,70,141,131,10,292,Philadelphia-USA,2019-01-09T21:03:18.01Z,41,11
"Most shared ""magic"" in this competition",Abhishek,grandmaster,2019-04-10T21:41:29.823Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,AmirH,expert,2019-04-10T21:55:56.203Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1
Tips for Breaking .901,Dalton Hall,expert,2019-04-03T17:26:22.647Z,119,99,95,4,346,Baton Rouge-USA,2018-06-17T16:34:58.317Z,10,3,Jiwei Liu,grandmaster,2019-04-03T18:44:32.907Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68
Final discussion on failed FE,Anon,contributor,2019-04-04T12:19:22.027Z,1958,80,76,4,48,Toronto-Canada,2016-04-10T20:20:41.25Z,1,4,Alex David,contributor,2019-04-06T16:51:34.543Z,381,8,7,1,0,Shanghai-China,2019-01-03T09:45:11.73Z,1,5
What is your CV?,Fredrik Jonsson,expert,2019-04-09T11:59:18.7Z,41,265,260,5,708,Umeå-Sverige,2016-07-15T13:03:26.56Z,32,0,Dalton Hall,expert,2019-04-09T17:53:16.07Z,119,99,95,4,346,Baton Rouge-USA,2018-06-17T16:34:58.317Z,10,3
Can I really get a job easily If I get a gold on Kaggle?,Pratik Gupta,contributor,2019-04-08T11:15:14.8Z,1339,18,13,5,21,Delhi-India,2018-12-02T13:03:43.31Z,2,1,Felipe Mello,expert,2019-04-08T11:39:17.003Z,70,141,131,10,292,Philadelphia-USA,2019-01-09T21:03:18.01Z,41,11
Is Kaggle server broken? I can't access my kernels.,YaGana Sheriff-Hussaini,expert,2019-04-09T23:54:14.89Z,638,1592,1540,52,1030,-United States,2017-02-05T02:13:28.57Z,49,11,abdelatif,expert,2019-04-09T23:54:52.277Z,1315,34,25,9,5,Fes-Morocco,2018-02-26T21:16:42.937Z,6,2
"Magic Hint? : What M.L ""can't see""",ozoneiscool,novice,2019-04-01T07:40:56.937Z,3489,10,8,2,120,-,2018-08-02T10:08:07.587Z,4,1,sagol,master,2019-04-01T10:24:50.847Z,82,48,47,1,77,Saint Petersburg-Russia,2016-02-11T11:28:15.207Z,4,2
Kernel work smart > work hard [LB 0.920],Felipe Mello,expert,2019-04-11T14:26:26.047Z,70,141,131,10,292,Philadelphia-USA,2019-01-09T21:03:18.01Z,41,11,Anon,contributor,2019-04-11T14:32:56.98Z,1958,80,76,4,48,Toronto-Canada,2016-04-10T20:20:41.25Z,1,4
Collating Magic Solutions,TK,contributor,2019-04-11T00:32:27.153Z,266,31,27,4,42,Santa Clara-USA,2017-04-22T04:06:03.627Z,2,5,TK,contributor,2019-04-11T00:45:00.84Z,266,31,27,4,42,Santa Clara-USA,2017-04-22T04:06:03.627Z,2,5
What about second magic?,Bojan Tunguz,grandmaster,2019-04-08T02:05:04.177Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,interneuron,master,2019-04-08T04:49:53.477Z,3,374,368,6,506,Austin-USA,2018-05-11T23:57:31.42Z,30,0
Long journey to 27th place ,funkyboy,expert,2019-04-11T05:09:35.25Z,27,82,77,5,301,Taipei-Taiwan,2015-03-22T11:21:13.893Z,40,10,Chris Deotte,master,2019-04-16T18:51:49.623Z,50,1708,1677,31,4649,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
Top public kernels comparison,Jakub Czakon,expert,2019-03-18T15:01:20.737Z,1816,351,332,19,715,Warsaw-Poland,2014-03-17T20:43:13.017Z,60,1,Jakub Czakon,expert,2019-03-19T14:43:25.807Z,1816,351,332,19,715,Warsaw-Poland,2014-03-17T20:43:13.017Z,60,1
Can someone sum up what is magic ?,Elyes Ouederni,contributor,2019-04-15T20:39:48.3Z,,7,5,2,12,Tunis-Tunisia,2019-02-26T03:26:08.923Z,4,4,Giba,grandmaster,2019-04-15T23:08:00.407Z,7,632,598,34,4022,Curitiba-Brazil,2012-08-23T17:26:51.11Z,6020,23
"####### 25th, Disqualified, ask for review",RunningZ,expert,2019-04-16T23:57:47.48Z,,108,97,11,184,Beijing-China,2015-09-26T05:15:12.567Z,16,32,Bac Nguyen,master,2019-04-17T00:52:57.253Z,1208,111,104,7,236,Gwangju-South Korea,2018-05-24T08:57:57.727Z,57,50
The Power of GPU,Chris Deotte,master,2019-04-11T07:24:36.493Z,50,1708,1677,31,4650,San Diego-USA,2018-03-14T22:51:30.63Z,747,0,Federico,contributor,2019-04-22T21:17:14.543Z,2211,33,30,3,49,Milan-Italy,2018-11-20T09:51:45.127Z,5,10
Final Results?,zhuangzhuang hong,novice,2019-04-15T08:08:46.143Z,738,7,1,6,33,-,2019-02-06T02:53:30.023Z,0,1,fatihöztürk,master,2019-04-16T17:14:58.443Z,15,330,315,15,762,Istanbul-Turkey,2017-01-11T21:07:23.58Z,151,10
Finally GM,ONODERA,grandmaster,2019-04-16T19:50:39.823Z,2,283,262,21,1121,Shibuya-Japan,2015-03-24T03:37:35.103Z,581,47,timetraveller,contributor,2019-04-16T20:54:20.68Z,258,26,26,0,41,Delhi-India,2018-09-11T19:09:35.793Z,1,6
How many submission you have left?,Murat Korkmaz,expert,2019-04-10T11:53:28.933Z,140,69,65,4,107,Istanbul-Turkey,2018-04-28T23:19:58.793Z,5,27,Samuel Wilson,contributor,2019-04-10T21:08:09.763Z,218,31,25,6,31,Richmond-United States,2017-10-03T18:42:11.5Z,2,1
"Amazing magic, But why it works",L.B.,contributor,2019-04-11T00:56:41.677Z,196,7,6,1,7,Tokyo-Japan,2018-09-11T00:06:41Z,0,1,Baba Firas,contributor,2019-04-11T01:06:39.847Z,57,97,81,16,146,Ariana-Tunisia,2018-04-04T00:49:38.163Z,28,16
Insanity,Scirpus,grandmaster,2019-04-07T19:50:06.793Z,300,1425,1289,136,3142,Cheshire-England,2014-09-29T15:57:04.947Z,406,0,Fredrik Jonsson,expert,2019-04-07T20:05:48.687Z,41,265,260,5,708,Umeå-Sverige,2016-07-15T13:03:26.56Z,32,0
Tips for Breaking .901,Dalton Hall,expert,2019-04-03T17:26:22.647Z,119,99,95,4,346,Baton Rouge-USA,2018-06-17T16:34:58.317Z,10,3,timetraveller,contributor,2019-04-06T07:14:01.333Z,258,26,26,0,41,Delhi-India,2018-09-11T19:09:35.793Z,1,6
Final discussion on failed FE,Anon,contributor,2019-04-04T12:19:22.027Z,1958,80,76,4,48,Toronto-Canada,2016-04-10T20:20:41.25Z,1,4,Nikita Gorokhov,contributor,2019-04-07T18:27:04.81Z,1443,7,6,1,0,Saint Petersburg-Russia,2018-11-18T18:56:06.223Z,2,0
What is your CV?,Fredrik Jonsson,expert,2019-04-09T11:59:18.7Z,41,265,260,5,708,Umeå-Sverige,2016-07-15T13:03:26.56Z,32,0,datasaurus,contributor,2019-04-09T17:53:19.1Z,220,71,63,8,79,-,2015-09-18T16:45:03.93Z,9,10
Can I really get a job easily If I get a gold on Kaggle?,Pratik Gupta,contributor,2019-04-08T11:15:14.8Z,1339,18,13,5,21,Delhi-India,2018-12-02T13:03:43.31Z,2,1,A.L.,master,2019-04-08T13:58:56.877Z,24,326,279,47,504,Pittsburgh-USA,2017-10-12T20:10:30.413Z,169,111
Is Kaggle server broken? I can't access my kernels.,YaGana Sheriff-Hussaini,expert,2019-04-09T23:54:14.89Z,638,1592,1540,52,1030,-United States,2017-02-05T02:13:28.57Z,49,11,RDizzl3,master,2019-04-09T23:58:14.023Z,101,200,181,19,443,Los Angeles-USA,2015-02-08T00:44:55.953Z,94,79
"Magic Hint? : What M.L ""can't see""",ozoneiscool,novice,2019-04-01T07:40:56.937Z,3489,10,8,2,120,-,2018-08-02T10:08:07.587Z,4,1,Ben Farcy,expert,2019-04-08T22:21:07.82Z,765,16,15,1,5,France-,2017-04-06T12:17:40.997Z,7,13
What about second magic?,Bojan Tunguz,grandmaster,2019-04-08T02:05:04.177Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,WYP,contributor,2019-04-08T02:29:12.873Z,933,5,4,1,9,Shanghai-China,2018-05-08T21:12:51.58Z,6,2
Long journey to 27th place ,funkyboy,expert,2019-04-11T05:09:35.25Z,27,82,77,5,301,Taipei-Taiwan,2015-03-22T11:21:13.893Z,40,10,Marcus Lin,master,2019-04-11T11:27:03.917Z,5,170,165,5,217,Taoyuan District-Taiwan,2017-12-04T03:30:20.55Z,195,7
Top public kernels comparison,Jakub Czakon,expert,2019-03-18T15:01:20.737Z,1816,351,332,19,715,Warsaw-Poland,2014-03-17T20:43:13.017Z,60,1,Nanashi,expert,2019-03-18T16:37:48.533Z,663,266,204,62,594,Valladolid-Spain,2019-02-04T18:37:32.493Z,197,101
Can someone sum up what is magic ?,Elyes Ouederni,contributor,2019-04-15T20:39:48.3Z,,7,5,2,12,Tunis-Tunisia,2019-02-26T03:26:08.923Z,4,4,Chris Deotte,master,2019-04-15T20:41:53.307Z,50,1708,1677,31,4650,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
"####### 25th, Disqualified, ask for review",RunningZ,expert,2019-04-16T23:57:47.48Z,,108,97,11,184,Beijing-China,2015-09-26T05:15:12.567Z,16,32,Chuanle Dou,expert,2019-04-17T01:55:08.28Z,113,21,18,3,25,Tianjin-China,2018-01-15T06:54:40.5Z,2,8
The Power of GPU,Chris Deotte,master,2019-04-11T07:24:36.493Z,50,1708,1677,31,4650,San Diego-USA,2018-03-14T22:51:30.63Z,747,0,Amador Cuenca,contributor,2019-04-22T19:03:57.533Z,,1,1,0,1,Quito-Ecuador,2017-10-13T22:33:52.21Z,0,1
Final Results?,zhuangzhuang hong,novice,2019-04-15T08:08:46.143Z,738,7,1,6,33,-,2019-02-06T02:53:30.023Z,0,1,Jiwei Liu,grandmaster,2019-04-15T13:58:06.983Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68
Finally GM,ONODERA,grandmaster,2019-04-16T19:50:39.823Z,2,283,262,21,1121,Shibuya-Japan,2015-03-24T03:37:35.103Z,581,47,fl2o,contributor,2019-04-16T21:10:15.653Z,1,35,34,1,330,Compiègne-France,2017-02-22T19:18:24.81Z,54,0
How many submission you have left?,Murat Korkmaz,expert,2019-04-10T11:53:28.933Z,140,69,65,4,107,Istanbul-Turkey,2018-04-28T23:19:58.793Z,5,27,Peng ,contributor,2019-04-10T18:23:16.14Z,34,46,39,7,85,Sunnyvale-USA,2019-03-25T01:44:50.437Z,3,1
"Amazing magic, But why it works",L.B.,contributor,2019-04-11T00:56:41.677Z,196,7,6,1,7,Tokyo-Japan,2018-09-11T00:06:41Z,0,1,CFPK,contributor,2019-04-11T01:00:20.683Z,807,57,52,5,53,Santiago-Chile,2016-08-31T00:58:27.347Z,2,3
Insanity,Scirpus,grandmaster,2019-04-07T19:50:06.793Z,300,1425,1289,136,3142,Cheshire-England,2014-09-29T15:57:04.947Z,406,0,Manoj,expert,2019-04-07T19:56:19.55Z,732,356,295,61,465,Jajpur-India,2016-11-22T13:49:44.363Z,18,85
Tips for Breaking .901,Dalton Hall,expert,2019-04-03T17:26:22.647Z,119,99,95,4,346,Baton Rouge-USA,2018-06-17T16:34:58.317Z,10,3,Mr Loke,contributor,2019-04-04T01:32:45.677Z,1523,71,58,13,50,Kuala Lumpur-Malaysia,2018-06-11T15:59:12.72Z,0,0
Final discussion on failed FE,Anon,contributor,2019-04-04T12:19:22.027Z,1958,80,76,4,48,Toronto-Canada,2016-04-10T20:20:41.25Z,1,4,Mattia Vanzetto,novice,2019-04-08T05:54:55.863Z,2540,19,16,3,3,Padua-Italy,2018-06-20T08:04:24.663Z,0,4
What is your CV?,Fredrik Jonsson,expert,2019-04-09T11:59:18.7Z,41,265,260,5,708,Umeå-Sverige,2016-07-15T13:03:26.56Z,32,0,RDizzl3,master,2019-04-09T18:33:06.36Z,101,200,181,19,443,Los Angeles-USA,2015-02-08T00:44:55.953Z,94,79
Can I really get a job easily If I get a gold on Kaggle?,Pratik Gupta,contributor,2019-04-08T11:15:14.8Z,1339,18,13,5,21,Delhi-India,2018-12-02T13:03:43.31Z,2,1,Ilya Khristoforov,expert,2019-04-08T11:21:09.933Z,1072,322,301,21,232,-Russian Federation,2012-08-14T17:04:39.46Z,15,44
Is Kaggle server broken? I can't access my kernels.,YaGana Sheriff-Hussaini,expert,2019-04-09T23:54:14.89Z,638,1592,1540,52,1030,-United States,2017-02-05T02:13:28.57Z,49,11,Alvaro,contributor,2019-04-09T23:59:49.43Z,389,1,1,0,0,Madrid-Spain,2018-12-29T19:36:35.663Z,0,6
"Magic Hint? : What M.L ""can't see""",ozoneiscool,novice,2019-04-01T07:40:56.937Z,3489,10,8,2,120,-,2018-08-02T10:08:07.587Z,4,1,mey lone,contributor,2019-04-02T18:21:41.87Z,1631,43,42,1,58,Fredericton-Canada,2018-02-16T04:20:48.82Z,1,1
What about second magic?,Bojan Tunguz,grandmaster,2019-04-08T02:05:04.177Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,Peng ,contributor,2019-04-08T04:59:18.793Z,34,46,39,7,85,Sunnyvale-USA,2019-03-25T01:44:50.437Z,3,1
Long journey to 27th place ,funkyboy,expert,2019-04-11T05:09:35.25Z,27,82,77,5,301,Taipei-Taiwan,2015-03-22T11:21:13.893Z,40,10,KyeongHwanKim,expert,2019-04-11T11:49:58.457Z,29,33,31,2,49,Incheon-South Korea,2017-08-25T05:30:27.08Z,12,10
Top public kernels comparison,Jakub Czakon,expert,2019-03-18T15:01:20.737Z,1816,351,332,19,715,Warsaw-Poland,2014-03-17T20:43:13.017Z,60,1,Marchenko Pasha,contributor,2019-03-20T09:42:46.06Z,1082,1,1,0,1,Vinnitsa-Ukraine,2019-01-28T18:39:23.993Z,1,0
Question about sm.logit and sklearn LR for Ensemble,Yiming,novice,2019-04-20T06:14:15.613Z,1351,8,7,1,6,-,2019-02-25T23:56:49.227Z,1,0,Chris Deotte,master,2019-04-22T18:38:35.66Z,50,1708,1677,31,4650,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
"####### 25th, Disqualified, ask for review",RunningZ,expert,2019-04-16T23:57:47.48Z,,108,97,11,184,Beijing-China,2015-09-26T05:15:12.567Z,16,32,jionie,expert,2019-04-17T04:56:39.12Z,202,108,106,2,230,Atlanta-USA,2017-07-19T02:44:26.56Z,9,51
What have you learned during this competition?,Felipe Mello,expert,2019-04-11T00:58:36.44Z,70,141,131,10,292,Philadelphia-USA,2019-01-09T21:03:18.01Z,41,11,The Little Green Flamingo,contributor,2019-04-11T01:10:48.437Z,1398,6,5,1,4,Campinas-Brasil,2017-07-15T00:41:20.443Z,5,6
How do we optimize GBM hyperparameters?,Chris Deotte,master,2019-04-13T00:59:57.68Z,50,1708,1677,31,4650,San Diego-USA,2018-03-14T22:51:30.63Z,747,0,Giba,grandmaster,2019-04-13T01:21:16.763Z,7,632,598,34,4022,Curitiba-Brazil,2012-08-23T17:26:51.11Z,6020,23
"Help! >0.92 in train, dev-train, validate dataset, but 0.68 in Test dataset",Linjie.wang,novice,2019-04-30T13:15:16.967Z,,2,1,1,0,-,2018-09-10T23:08:36.817Z,0,0,Julian,novice,2019-05-01T15:50:18.83Z,1772,18,18,0,16,Buenos Aires-Argentina,2016-11-21T21:09:11.077Z,0,1
Public LB 0.922 magic notebook,CPMP,grandmaster,2019-04-11T00:02:45.627Z,15,5019,4782,237,12240,-France,2012-12-16T12:03:05.527Z,2106,0,HJ,contributor,2019-04-30T07:08:48.583Z,,11,11,0,2,Seoul-South Korea,2019-02-02T10:44:59.63Z,1,12
competition disappeared?,Serge,novice,2019-05-03T12:12:33.767Z,2100,39,35,4,9,-,2017-07-01T01:17:11.35Z,1,0,Luca Basanisi,expert,2019-05-03T15:54:53.593Z,,356,337,19,305,Rotterdam-Netherlands,2017-07-24T09:49:17.267Z,54,5
Row-wise features engineering,Yassine Alouini,expert,2019-03-23T10:47:20.493Z,818,205,178,27,251,"Bordeaux, France-France",2014-03-10T07:49:31.513Z,24,105,sadeghsaem,novice,2019-05-27T10:08:56.19Z,2494,2,1,1,-1,-,2019-03-02T15:22:14.763Z,2,3
Gold Medal Solutions,Vopani,grandmaster,2019-04-11T01:02:40.437Z,27,93,80,13,346,Bengaluru-India,2013-07-09T05:35:42.833Z,448,11,fatihöztürk,master,2019-04-16T09:57:52.503Z,15,330,315,15,762,Istanbul-Turkey,2017-01-11T21:07:23.58Z,151,10
The Power of GPU,Chris Deotte,master,2019-04-11T07:24:36.493Z,50,1708,1677,31,4650,San Diego-USA,2018-03-14T22:51:30.63Z,747,0,Jesse Galdal-Gibbs,contributor,2019-04-21T11:12:00.357Z,,1,1,0,1,London-UK,2017-09-10T18:38:37.227Z,0,0
Final Results?,zhuangzhuang hong,novice,2019-04-15T08:08:46.143Z,738,7,1,6,33,-,2019-02-06T02:53:30.023Z,0,1,Murat Korkmaz,expert,2019-04-16T12:42:19.64Z,140,69,65,4,107,Istanbul-Turkey,2018-04-28T23:19:58.793Z,5,27
Finally GM,ONODERA,grandmaster,2019-04-16T19:50:39.823Z,2,283,262,21,1121,Shibuya-Japan,2015-03-24T03:37:35.103Z,581,47,Djaballah,contributor,2019-04-16T20:55:10.727Z,695,96,93,3,32,Algiers-Algeria,2017-04-08T01:10:46.603Z,2,19
How many submission you have left?,Murat Korkmaz,expert,2019-04-10T11:53:28.933Z,140,69,65,4,107,Istanbul-Turkey,2018-04-28T23:19:58.793Z,5,27,Dalton Hall,expert,2019-04-10T17:14:23.653Z,119,99,95,4,346,Baton Rouge-USA,2018-06-17T16:34:58.317Z,10,3
"Amazing magic, But why it works",L.B.,contributor,2019-04-11T00:56:41.677Z,196,7,6,1,7,Tokyo-Japan,2018-09-11T00:06:41Z,0,1,interneuron,master,2019-04-11T01:08:33.19Z,3,374,368,6,506,Austin-USA,2018-05-11T23:57:31.42Z,30,0
Insanity,Scirpus,grandmaster,2019-04-07T19:50:06.793Z,300,1425,1289,136,3142,Cheshire-England,2014-09-29T15:57:04.947Z,406,0,BlueDragon,contributor,2019-04-08T17:55:16.673Z,2772,18,17,1,7,New Delhi-India,2013-06-17T09:32:27.77Z,14,42
Tips for Breaking .901,Dalton Hall,expert,2019-04-03T17:26:22.647Z,119,99,95,4,346,Baton Rouge-USA,2018-06-17T16:34:58.317Z,10,3,Ilu,expert,2019-04-03T21:58:38.183Z,58,255,249,6,394,Aachen-Germany,2019-01-05T19:17:10.167Z,11,1
Final discussion on failed FE,Anon,contributor,2019-04-04T12:19:22.027Z,1958,80,76,4,48,Toronto-Canada,2016-04-10T20:20:41.25Z,1,4,Roman Chernenko,expert,2019-04-09T12:08:43.18Z,223,19,16,3,13,Cherkasy-Ukraine,2015-09-25T08:35:31.813Z,5,2
Can I really get a job easily If I get a gold on Kaggle?,Pratik Gupta,contributor,2019-04-08T11:15:14.8Z,1339,18,13,5,21,Delhi-India,2018-12-02T13:03:43.31Z,2,1,Edward Stephen Charlesworth,novice,2019-04-08T13:56:31.87Z,6925,11,11,0,0,New York-USA,2017-12-02T15:22:29.6Z,0,1
Is Kaggle server broken? I can't access my kernels.,YaGana Sheriff-Hussaini,expert,2019-04-09T23:54:14.89Z,638,1592,1540,52,1030,-United States,2017-02-05T02:13:28.57Z,49,11,Timmmmmms,contributor,2019-04-10T00:00:35.03Z,1873,92,87,5,37,Guangzhou-China,2018-12-27T12:57:41.37Z,0,6
"Magic Hint? : What M.L ""can't see""",ozoneiscool,novice,2019-04-01T07:40:56.937Z,3489,10,8,2,120,-,2018-08-02T10:08:07.587Z,4,1,Subba,contributor,2019-04-01T20:40:50.483Z,3087,14,13,1,20,Chicago-USA,2016-07-01T02:47:50.377Z,0,0
What about second magic?,Bojan Tunguz,grandmaster,2019-04-08T02:05:04.177Z,102,1036,931,105,4530,Mountain View-USA,2015-09-11T21:32:16.517Z,2930,396,CPMP,grandmaster,2019-04-10T17:37:49.277Z,15,5019,4782,237,12240,-France,2012-12-16T12:03:05.527Z,2106,0
Long journey to 27th place ,funkyboy,expert,2019-04-11T05:09:35.25Z,27,82,77,5,301,Taipei-Taiwan,2015-03-22T11:21:13.893Z,40,10,Stanislav Blinov,expert,2019-04-11T11:07:51.86Z,272,113,107,6,56,Moscow-Russia,2019-02-25T15:19:43.347Z,1,0
Top public kernels comparison,Jakub Czakon,expert,2019-03-18T15:01:20.737Z,1816,351,332,19,715,Warsaw-Poland,2014-03-17T20:43:13.017Z,60,1,Shahebaz,master,2019-03-19T18:03:33.207Z,146,481,431,50,1341,Hyderabad-India,2017-07-08T15:47:54.99Z,258,12
Question about sm.logit and sklearn LR for Ensemble,Yiming,novice,2019-04-20T06:14:15.613Z,1351,8,7,1,6,-,2019-02-25T23:56:49.227Z,1,0,Julian,novice,2019-05-01T03:16:09.087Z,1772,18,18,0,16,Buenos Aires-Argentina,2016-11-21T21:09:11.077Z,0,1
"####### 25th, Disqualified, ask for review",RunningZ,expert,2019-04-16T23:57:47.48Z,,108,97,11,184,Beijing-China,2015-09-26T05:15:12.567Z,16,32,Strideradu,master,2019-04-17T00:16:05.473Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42
What have you learned during this competition?,Felipe Mello,expert,2019-04-11T00:58:36.44Z,70,141,131,10,292,Philadelphia-USA,2019-01-09T21:03:18.01Z,41,11,mey lone,contributor,2019-04-11T03:05:56.1Z,1631,43,42,1,58,Fredericton-Canada,2018-02-16T04:20:48.82Z,1,1
How do we optimize GBM hyperparameters?,Chris Deotte,master,2019-04-13T00:59:57.68Z,50,1708,1677,31,4650,San Diego-USA,2018-03-14T22:51:30.63Z,747,0,Luca Massaron,master,2019-04-16T15:32:20.737Z,95,76,65,11,148,Verona-IT,2011-10-26T10:46:25.573Z,93,7
Public LB 0.922 magic notebook,CPMP,grandmaster,2019-04-11T00:02:45.627Z,15,5019,4782,237,12240,-France,2012-12-16T12:03:05.527Z,2106,0,Chris Deotte,master,2019-04-11T04:13:17.857Z,50,1708,1677,31,4650,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
competition disappeared?,Serge,novice,2019-05-03T12:12:33.767Z,2100,39,35,4,9,-,2017-07-01T01:17:11.35Z,1,0,Serge,novice,2019-05-03T17:09:42.017Z,2100,39,35,4,9,-,2017-07-01T01:17:11.35Z,1,0
Row-wise features engineering,Yassine Alouini,expert,2019-03-23T10:47:20.493Z,818,205,178,27,251,"Bordeaux, France-France",2014-03-10T07:49:31.513Z,24,105,Timmmmmms,contributor,2019-03-23T11:59:15.787Z,1873,92,87,5,37,Guangzhou-China,2018-12-27T12:57:41.37Z,0,6
Gold Medal Solutions,Vopani,grandmaster,2019-04-11T01:02:40.437Z,27,93,80,13,346,Bengaluru-India,2013-07-09T05:35:42.833Z,448,11,CPMP,grandmaster,2019-04-16T09:19:26.63Z,15,5019,4782,237,12240,-France,2012-12-16T12:03:05.527Z,2106,0
The Power of GPU,Chris Deotte,master,2019-04-11T07:24:36.493Z,50,1708,1677,31,4650,San Diego-USA,2018-03-14T22:51:30.63Z,747,0,Twho Vegietable,novice,2019-04-20T04:43:21.207Z,1019,4,4,0,2,Wilmington-USA,2017-04-12T17:32:30.773Z,0,7
Final Results?,zhuangzhuang hong,novice,2019-04-15T08:08:46.143Z,738,7,1,6,33,-,2019-02-06T02:53:30.023Z,0,1,Federico,contributor,2019-04-24T13:14:28.873Z,2211,33,30,3,49,Milan-Italy,2018-11-20T09:51:45.127Z,5,10
Finally GM,ONODERA,grandmaster,2019-04-16T19:50:39.823Z,2,283,262,21,1121,Shibuya-Japan,2015-03-24T03:37:35.103Z,581,47,Pavel Troshenkov,expert,2019-04-16T20:22:22.143Z,303,114,103,11,272,Москва-Россия,2015-10-26T16:37:35.227Z,7,0
How many submission you have left?,Murat Korkmaz,expert,2019-04-10T11:53:28.933Z,140,69,65,4,107,Istanbul-Turkey,2018-04-28T23:19:58.793Z,5,27,Yunpeng Cai,novice,2019-04-10T16:13:17.983Z,100,24,23,1,12,Aarhus-Denmark,2018-12-31T23:16:22.25Z,1,0
"Amazing magic, But why it works",L.B.,contributor,2019-04-11T00:56:41.677Z,196,7,6,1,7,Tokyo-Japan,2018-09-11T00:06:41Z,0,1,zeyu wang,contributor,2019-04-11T01:13:48.69Z,256,10,8,2,11,Tokyo-Japan,2014-10-13T13:36:05.8Z,0,1
Insanity,Scirpus,grandmaster,2019-04-07T19:50:06.793Z,300,1425,1289,136,3142,Cheshire-England,2014-09-29T15:57:04.947Z,406,0,Gabriel Preda,grandmaster,2019-04-08T16:23:35.467Z,2123,759,713,46,631,Bucharest-Romania,2016-10-27T20:37:40.773Z,781,83
Tips for Breaking .901,Dalton Hall,expert,2019-04-03T17:26:22.647Z,119,99,95,4,346,Baton Rouge-USA,2018-06-17T16:34:58.317Z,10,3,AmanKapoor,expert,2019-04-03T18:14:41.143Z,146,75,66,9,51,Delhi-India,2015-10-28T19:29:39.767Z,38,80
Can I really get a job easily If I get a gold on Kaggle?,Pratik Gupta,contributor,2019-04-08T11:15:14.8Z,1339,18,13,5,21,Delhi-India,2018-12-02T13:03:43.31Z,2,1,Pratik Gupta,contributor,2019-04-11T05:59:34.887Z,1339,18,13,5,21,Delhi-India,2018-12-02T13:03:43.31Z,2,1
